,Name,Score,Description
0,무르시아 성당,4.7,-
1,Real Casino de Murcia,4.6,-
2,Plaza De Las Flores,4.4,-
3,Episcopal Palace of Murcia,4.4,-
4,Santuario de la Fuensanta,4.7,-
5,Santa Eulalia,4.6,-
6,Jardín De Floridablanca,4.4,-
7,Museo de Bellas Artes de Murcia,4.5,-
8,Casa Díaz Cassou. Consejería de Cultura.,4.4,-
9,Pasarela Jorge Manrique,4.1,-
10,Castillo de Monteagudo,4.2,-
11,Market RIN RAN,4.1,-
12,Hotel Campanile,3.8,-
13,벨베르 성,4.4,팔마를 내려다보는 숲이 우거진 언덕에 자리 잡은 1300년대 원형 모양 성으로 도시 역사 박물관이 있습니다.
14,Centro Comercial Nueva Condomina,4.4,-
15,이비스 무리시아,4.0,-
16,AC Hotel by Marriott Murcia,4.2,-
