,Name,Score,Description
0,Catedral de Valladolid,4.3,-
1,"Plaza Mayor, Valladolid",4.5,-
2,National Sculpture Museum,4.7,-
3,Valladolid Science Museum,4.3,-
4,Casa de Cervantes,4.3,-
5,Campo Grande,4.6,-
6,Palacio del Marqués Villena,4.7,-
7,Santa María La Antigua,4.7,-
8,Museum of the Monastery of Saint Isabel,4.6,-
9,Fuente de La Bola del Mundo,4.3,-
10,알카사르,4.7,로맨틱한 분위기의 중세 성으로 화재 후에 복원되었으며 화려하게 꾸며진 방과 병기고 박물관을 갖추고 있습니다.
11,엘 에스코리알,4.7,"1500년대의 거대한 왕실 건물 단지로 옛 거장의 작품, 호화로운 아파트, 아치형 도서관이 있습니다."
12,Pimentel Palace,4.5,-
13,마드리드 왕궁,4.6,"18세기에 국가 행사를 위해 건설된 산꼭대기의 궁전으로, 예술품과 골동품으로 가득 찬 방을 투어로 둘러볼 수 있습니다."
14,Valladolid Campo Grande,4.0,-
15,에스타디오 산티아고 베르나베우,4.6,"81,000명을 수용하는 레알 마드리드의 홈구장으로, 정식 경기가 열리며 경기장과 트로피 전시실 투어가 진행됩니다."
16,Palace of La Magdalena,4.6,-
17,바야돌리드 대학교,4.1,-
18,Hotel Vincci Frontaura,4.3,-
19,Hotel Felipe IV,3.8,-
