,Name,Score,Description
0,스페인 광장,4.8,"대형 분수, 유색 타일이 붙은 자리, 화려한 건물이 있는 유명한 광장입니다."
1,알카사르,4.7,"분수로 가득한 정원, 화려한 아치, 16세기 타일로 지어진 랜드마크인 무어인풍 왕궁입니다."
2,메트로폴 파라솔,4.3,목조 조각 건물에 고고학 박물관이 들어서 있으며 루프톱 산책로와 전망대도 있습니다.
3,히랄다,4.7,스페인-르네상스 스타일의 첨탑이며 수 세기 후에 고딕 양식 & 바로크 양식의 종탑이 세워졌습니다.
4,마리아 루이사 공원,4.7,"유명한 대규모 공원에 조경이 잘된 정원, 분수, 기념비가 있는 아름다운 광장이 있습니다."
5,황금의 탑,4.4,"1220년경에 지은 외부 방어 탑으로, 이름의 기원에 관한 여러 이론이 있습니다."
6,세비야 미술관,4.6,-
7,아메리카 광장,4.6,-
8,Casa de Pilatos,4.3,-
9,"Museum of Popular Arts and Traditions, Sevilla",4.3,-
10,산텔모궁,4.5,-
11,Basílica de la Macarena,4.7,-
12,살바도르 성당,4.6,-
