,Name,Score,Description
0,알카사르,4.5,16세기 건물과 예전에 요새화된 궁전을 개조하여 지금은 군사 박물관으로 이용하고 있습니다.
1,FLY TOLEDO,4.9,-
2,소코도베르 광장,4.5,-
3,톨레도 대성당,4.7,부르즈 대성당을 모델로 한 로마 가톨릭 교회 성당으로 무데하르식 건축 양식이 일부 반영되었습니다.
4,Mirador del Valle,4.7,-
5,Puerta del Sol,4.6,-
6,El pozo de los deseos R.Saavedra,4.2,-
7,Puerta de Alfonso VI,4.6,-
8,산토 토메 성당,4.4,-
9,Museum of Santa Cruz,4.5,-
10,산마르틴 다리,4.7,-
11,Custodia de Arfe,4.5,-
12,비사그라의 문,4.6,-
13,Museo del Greco,4.3,-
14,Museo del Queso Manchego Toledo,4.7,-
15,Monasterio de San Juan de los Reyes,4.6,15세기 고딕-플랑드르 교회는 화려한 2층 회랑이 있으며 현재 프란치스코회에서 운영하고 있습니다.
16,성모승천 시나고가,4.5,-
17,Cuevas de Hércules,3.8,-
18,Train Vision,4.0,-
19,Alcantara Bridge,4.7,-
