,Name,Score,Description
0,Ljubljana Castle,4.4,유리로 된 케이블카를 타고 역사적인 전시물이 있는 이 도시의 상징적인 명소까지 갈 수 있습니다.
1,Tivoli Park,4.6,-
2,드래곤 다리,4.5,보행자 친화적인 아르 누보 다리는 1900년에 세워졌으며 용 동상으로 잘 알려져 있습니다.
3,Ljubljana Cathedral,4.5,-
4,Central market,4.4,-
5,Museum of Contemporary Art Metelkova | +MSUM,4.3,-
6,도살자 다리,4.5,-
7,Town Hall,4.4,-
8,Trg republike,4.4,-
9,Church of St. James,4.5,-
10,National Gallery,4.6,-
11,포스토이나 동굴,5.0,-
12,Postojna Cave,4.7,홀과 통로가 있는 거대한 동굴로 철로로 이동할 수 있으며 콘서트장과 회의실도 갖추고 있습니다.
13,Blejski grad BLED CASTLE,4.4,"블레드호가 내려다보이는 11세기 절벽 위의 성에 박물관, 레스토랑, 와인 저장고가 있습니다."
14,Ljubljana Castle,4.4,유리로 된 케이블카를 타고 역사적인 전시물이 있는 이 도시의 상징적인 명소까지 갈 수 있습니다.
15,Tivoli Park,4.6,-
16,드래곤 다리,4.5,보행자 친화적인 아르 누보 다리는 1900년에 세워졌으며 용 동상으로 잘 알려져 있습니다.
17,Ljubljana Cathedral,4.5,-
18,Central market,4.4,-
19,Museum of Contemporary Art Metelkova | +MSUM,4.3,-
20,도살자 다리,4.5,-
21,Town Hall,4.4,-
22,Trg republike,4.4,-
23,Church of St. James,4.5,-
24,National Gallery,4.6,-
25,포스토이나 동굴,5.0,-
26,Postojna Cave,4.7,홀과 통로가 있는 거대한 동굴로 철로로 이동할 수 있으며 콘서트장과 회의실도 갖추고 있습니다.
27,Blejski grad BLED CASTLE,4.4,"블레드호가 내려다보이는 11세기 절벽 위의 성에 박물관, 레스토랑, 와인 저장고가 있습니다."
28,Ljubljana Castle,4.4,유리로 된 케이블카를 타고 역사적인 전시물이 있는 이 도시의 상징적인 명소까지 갈 수 있습니다.
29,Tivoli Park,4.6,-
30,드래곤 다리,4.5,보행자 친화적인 아르 누보 다리는 1900년에 세워졌으며 용 동상으로 잘 알려져 있습니다.
31,Ljubljana Cathedral,4.5,-
32,Central market,4.4,-
33,Museum of Contemporary Art Metelkova | +MSUM,4.3,-
34,도살자 다리,4.5,-
35,Town Hall,4.4,-
36,Trg republike,4.4,-
37,Church of St. James,4.5,-
38,National Gallery,4.6,-
39,포스토이나 동굴,5.0,-
40,Postojna Cave,4.7,홀과 통로가 있는 거대한 동굴로 철로로 이동할 수 있으며 콘서트장과 회의실도 갖추고 있습니다.
41,Blejski grad BLED CASTLE,4.4,"블레드호가 내려다보이는 11세기 절벽 위의 성에 박물관, 레스토랑, 와인 저장고가 있습니다."
