,Name,Score,Description
0,Maribor Castle,4.5,-
1,Pokrajinski muzej Maribor,4.7,-
2,Stolna župnija Maribor,4.5,-
3,Plague Column,4.5,-
4,Maribor Regional Museum,4.3,-
5,Oozss Vinag vinarstvo sadjarstvo Maribor,4.4,-
6,Umetnostna galerija Maribor,4.6,-
7,Murturm,4.6,-
8,Trakoscan,4.8,-
9,성 마르크 성당 Crkva Sv. Marka,4.6,-
10,반옐치치광장,-,-
11,자그레브 대성당,4.7,이 거대한 로마 가톨릭교회는 옛 영광을 되찾기 위하여 1990년대에 재건되었습니다.
12,Maksimir,4.8,-
13,드래곤 다리,4.5,보행자 친화적인 아르 누보 다리는 1900년에 세워졌으며 용 동상으로 잘 알려져 있습니다.
14,Croatian National Theatre in Zagreb,4.7,-
15,Lotrščak Tower,4.7,-
16,성 마르카 교회,4.7,기념비적인 중세 스타일의 가톨릭교회로 13세기에 건설되었습니다.
17,Museum of Broken Relationships,4.3,바로크 양식 궁전에 있는 박물관으로 간략한 소개와 함께 옛 연인들의 개인적인 소장품이 전시되어 있습니다.
18,Museum Liaunig,4.7,-
19,Zagreb 360° observation deck,4.4,-
20,Mimara,4.6,-
21,Franciscan Church,4.9,-
22,Ljubljana Castle,4.4,유리로 된 케이블카를 타고 역사적인 전시물이 있는 이 도시의 상징적인 명소까지 갈 수 있습니다.
23,Blejski grad BLED CASTLE,4.4,"블레드호가 내려다보이는 11세기 절벽 위의 성에 박물관, 레스토랑, 와인 저장고가 있습니다."
24,Shopping center Europark Maribor,4.5,-
25,UNIVERZA V MARIBORU REKTORAT,4.6,-
26,Kunsthaus Graz,4.3,강변의 파란색 비정형 건물에 자리한 현대미술관에서는 최첨단 전시회가 열립니다.
27,베트나바 호텔 마리보르,4.4,-
28,Maribor Town Hall,-,-
29,Monument of the Assumption of the Blessed Virgin Mary,4.6,-
30,Gostilna Maribor,4.3,-
31,"St. Mark's Church, Zagreb",4.6,-
32,Old Town of Graz,4.7,-
33,Hotel City Maribor,4.5,-
34,Hostel Vetrinjska Maribor,3.4,-
35,Ibis Styles Maribor City Center,4.2,-
36,Maribor INN hotel,4.2,-
37,Mercure Maribor City Center,4.1,-
38,Guest House Pohorska Kavarna,4.7,-
39,McDonald's Maribor Swaty,4.2,"버거, 감자튀김, 셰이크로 유명한 오랜 전통의 클래식 패스트푸드 체인점입니다."
