,Name,Score,Description
0,Celje Castle,4.6,-
1,Logar Valley,4.8,-
2,Nebotičnik - Skyscraper,4.3,-
3,Murturm,4.6,-
4,Ljubljana Castle,4.4,유리로 된 케이블카를 타고 역사적인 전시물이 있는 이 도시의 상징적인 명소까지 갈 수 있습니다.
5,성 마르크 성당 Crkva Sv. Marka,4.6,-
6,반옐치치광장,-,-
7,Tivoli Park,4.6,-
8,자그레브 대성당,4.7,이 거대한 로마 가톨릭교회는 옛 영광을 되찾기 위하여 1990년대에 재건되었습니다.
9,Blejski grad BLED CASTLE,4.4,"블레드호가 내려다보이는 11세기 절벽 위의 성에 박물관, 레스토랑, 와인 저장고가 있습니다."
10,드래곤 다리,4.5,보행자 친화적인 아르 누보 다리는 1900년에 세워졌으며 용 동상으로 잘 알려져 있습니다.
11,Celje railway station,4.0,-
12,Center Triglavskega narodnega parka Bohinj,4.8,"최대 높이가 9,396피트인 트리글라브산의 이름을 따서 명명한 보호 구역입니다."
13,Ljubljana Cathedral,4.5,-
14,Croatian National Theatre in Zagreb,4.7,-
15,Lotrščak Tower,4.7,-
16,Museum of Broken Relationships,4.3,바로크 양식 궁전에 있는 박물관으로 간략한 소개와 함께 옛 연인들의 개인적인 소장품이 전시되어 있습니다.
17,Zagreb 360° observation deck,4.4,-
18,Hochosterwitz Castle,4.5,-
19,성 마르카 교회,4.7,기념비적인 중세 스타일의 가톨릭교회로 13세기에 건설되었습니다.
