,Name,Score,Description
0,런던 아이,4.5,거대한 회전 관람차로 도시의 명소를 특별하게 바라볼 수 있습니다.
1,SEA LIFE 런던 수족관,4.3,-
2,런던 던전,4.3,의상을 입은 배우와 테마 놀이 기구가 과거 런던의 무서운 이야기를 묘사합니다.
3,런던 탑,4.6,"수 세기에 걸친 피의 역사를 간직한 중세 성으로 왕관이 보관되어 있으며, 상징적인 경비병을 볼 수 있습니다."
4,하이드 파크,4.7,"프린세스 디아나 메모리얼 파운탱이 있는 넓은 녹지대로, 더 세르펀타인에서 보트 타기와 수영을 즐길 수 있습니다."
5,트라팔가 광장,4.6,"넬슨 제독 기념비는 상징적인 광장의 LED 조명 분수, 예술 작품, 사자상 위로 우뚝 솟아 있습니다."
6,영국 박물관,4.7,"이집트 미라, 고대 그리스 조각상을 비롯한 세계 유물의 거대한 전시장입니다."
7,타워 브리지,4.7,-
8,버킹엄 궁전,4.5,궁전의 화려한 방과 접견실을 둘러보거나 경비병의 교대 의식을 지켜볼 수 있습니다.
9,빅 벤,4.4,국가적 상징인 16층 크기의 고딕 양식 시계탑으로 영국 국회의사당의 동쪽 끝에 위치합니다.
10,영국 국회의사당,4.6,-
11,더 샤드,4.6,"들쭉날쭉한 꼭대기가 특징인 87층 높이의 유리로 된 초고층 건물에 레스토랑, 사무실, 호텔, 전망대가 있습니다."
12,내셔널 갤러리,4.7,걸작 회화 작품을 통해 서유럽 회화의 발전사를 둘러볼 수 있는 트래펄가 광장의 미술관입니다.
13,런던 교,4.6,주요 기차역인 런던 브릿지역의 이름이 유래된 콘크리트 보도이자 교량입니다.
14,세인트 제임시즈 공원,4.7,"매일 펠리컨 먹이 주기 체험이 진행되는 호수와 초가지붕이 있는 카페, 의식 행사를 볼 수 있는 녹지 공간입니다."
15,자연사 박물관,4.7,"동물과 자연 현상에 관한 유명 박물관으로, 체험형 전시와 움직이는 공룡을 관람할 수 있습니다."
16,과학박물관,4.5,"과학과 발명의 방대한 보고이며, 최신식 체험형 전시로 유명합니다."
17,켄싱턴 가든스,4.7,드넓은 공원에 켄싱턴 팰리스와 디아나 메모리얼 플레이그라운드가 자리합니다.
18,세인트 폴 대성당,4.6,세인트 폴 대성당 외부에는 교회 묘지와 정원이 있으며 본래 건물의 평면도도 있습니다.
19,더 리젠츠 공원,4.7,"외관이 유리로 된 현대적인 카페와 함께, 경기장과 탈의실을 갖춘 스포츠 관리 시설이 갖춰져 있습니다."
