,Name,Score,Description
0,사이언스 앤드 인더스트리 뮤지엄,4.5,세계 최초의 현대식 기차역 중 한 곳으로 과학의 역할과 혁신을 탐구하는 박물관입니다.
1,시티 오브 맨체스터 스타디움,4.6,-
2,맨체스터 박물관,4.6,-
3,맨체스터 미술관,4.6,-
4,국립 축구박물관,4.3,"140,000개 이상의 풋볼 관련 아이템과 키즈 디스커버리 존, 스킬 테스트 시뮬레이터 등이 있습니다."
5,올드 트래퍼드,4.6,"맨체스터 유나이티드의 홈구장으로 75,000석 규모이며 경기장 이면을 보여주는 투어가 제공됩니다."
6,욘 라이랜즈 도서관,4.8,-
7,맨체스터 대성당,4.6,-
8,히턴 공원,4.6,-
9,People's History Museum,4.5,-
10,Chetham's Library,4.8,-
11,촐튼 워터 공원,4.5,-
12,플레처 모스 공원,4.6,-
13,The Whitworth,4.5,-
14,새크빌 가든스,4.3,-
15,Centre for Chinese Contemporary Art (CFCCA),4.3,-
