,Name,Score,Description
0,캐드버리 월드,4.2,셀프 가이드 투어를 통해 초콜릿 제작 및 캐드버리 역사에 관한 다채로운 인터랙티브 전시를 즐길 수 있습니다.
1,캐넌 힐 공원,4.5,-
2,버밍엄 박물관&미술관,4.5,-
3,윈터본 하우스 & 가든,4.7,-
4,더 버밍엄 보태니컬 가든스,4.4,-
5,버밍엄 와일드라이프 보전공원,4.4,-
6,National Trust - Birmingham Back to Backs,4.8,-
7,Selly Manor Museum,4.5,-
8,St. 필립스 대성당,4.5,-
9,The Barber Institute of Fine Arts,4.7,-
10,리키 힐스 컨트리 공원,4.6,-
11,Library of Birmingham,4.3,-
12,브로드웨이 카지노,4.1,-
13,불링 & 그랑 센트럴,4.4,다양한 거리 패션을 경험할 수 있는 현대적인 랜드마크 쇼핑몰로 가정용품 매장과 레스토랑 등이 있습니다.
14,Bosworth Cruises,4.6,-
15,브랜던 마시 자연보호지역,4.7,-
16,코번트리 트랜스포트 뮤지엄,4.7,-
17,블리스츠 힐 빅토리안 타운,4.7,-
18,모즐리 올드 홀,4.6,-
19,탄식의다리,3.5,-
