,Name,Score,Description
0,Schloßberg,4.7,"도시가 내려다보이는 언덕 위에 있는 1,000년 된 성으로 정상까지 강삭 철도로 오를 수 있습니다."
1,Island in the Mur,4.4,-
2,Clock Tower,4.7,-
3,Kunsthaus Graz,4.3,강변의 파란색 비정형 건물에 자리한 현대미술관에서는 최첨단 전시회가 열립니다.
4,Landeszeughaus,4.7,-
5,Hauptplatz Graz,4.5,-
6,Old Town of Graz,4.7,-
7,Graz Cathedral,4.5,-
8,Graz Opera,4.6,-
9,"Eggenberg Palace, Graz",4.6,-
10,Schloßberg,4.7,"도시가 내려다보이는 언덕 위에 있는 1,000년 된 성으로 정상까지 강삭 철도로 오를 수 있습니다."
11,Island in the Mur,4.4,-
12,Clock Tower,4.7,-
13,Kunsthaus Graz,4.3,강변의 파란색 비정형 건물에 자리한 현대미술관에서는 최첨단 전시회가 열립니다.
14,Landeszeughaus,4.7,-
15,Hauptplatz Graz,4.5,-
16,Old Town of Graz,4.7,-
17,Graz Cathedral,4.5,-
18,Graz Opera,4.6,-
19,"Eggenberg Palace, Graz",4.6,-
20,Schloßberg,4.7,"도시가 내려다보이는 언덕 위에 있는 1,000년 된 성으로 정상까지 강삭 철도로 오를 수 있습니다."
21,Island in the Mur,4.4,-
22,Clock Tower,4.7,-
23,Kunsthaus Graz,4.3,강변의 파란색 비정형 건물에 자리한 현대미술관에서는 최첨단 전시회가 열립니다.
24,Landeszeughaus,4.7,-
25,Hauptplatz Graz,4.5,-
26,Old Town of Graz,4.7,-
27,Graz Cathedral,4.5,-
28,Graz Opera,4.6,-
29,"Eggenberg Palace, Graz",4.6,-
