,Name,Score,Description
0,호프부르크 왕궁,4.6,"화려한 바로크 양식 인테리어, 황실 저택, 은 박물관이 있는 합스부르크 궁전입니다."
1,슈테판 대성당,4.7,"화려한 첨탑, 지하 묘지, 보물 박물관이 있는 중세 로마 카톨릭 성당입니다."
2,빈 국립 오페라극장,4.7,"대형 공연을 선보이는 세계적으로 유명한 오페라 극장으로, 고유의 인테리어가 돋보이며 다국어 가이드 투어가 진행됩니다."
3,벨베데레 궁전,4.7,클림트의 작품을 비롯해 중세 시대부터 현대에 이르는 작품이 전시되어 있는 바로크 양식의 18세기 궁전입니다.
4,쇤브룬궁,4.7,18세기의 여름 궁전으로 화려한 로코코식 예식 공간을 둘러보는 투어가 제공되며 미로 정원이 있습니다.
5,하스 하우스,4.5,-
6,비포 선라이즈 골목 촬영지,-,-
7,Löwenbrunnen,-,-
8,Albertina,4.7,"19세기 합스부르크가의 왕궁으로, 응접실과 옛 거장의 프린트 컬렉션, 20세기 예술 작품이 있습니다."
9,Prater,4.5,1897년에 만들어진 유명한 대관람차 등 옛 분위기의 놀이기구로 유명한 24시간 운영 대형 놀이공원입니다.
10,빈 시청,4.7,"3천만 개의 벽돌로 지은 거대한 시청 건물에서 현재는 에이즈 기부 행사, 시장, 기타 이벤트가 열립니다."
11,빈 미술사 박물관,4.8,화려한 내부가 돋보이는 웅장한 19세기 박물관에 합스부르크가의 예술 컬렉션과 유물이 소장되어 있습니다.
12,브람스 동상,4.7,-
13,앙커우어 인형시계,4.4,-
14,대관람차,4.5,1945년에 재건된 놀이공원 명소로 식사와 전시회를 즐길 수 있는 목조 오두막이 있습니다.
15,Karlskirche,4.6,32.5m 높이의 전망대가 있는 18세기 합스부르크 왕가의 돔형 성당에서 화려한 프레스코화를 볼 수 있습니다.
16,무제움스크바르티어,4.6,역사적인 건물과 현대적인 건물로 재건된 지역에 도시 최고의 박물관이 많이 모여 있습니다.
17,Austrian Gallery Belvedere,4.7,-
18,Prunksaal der Österreichischen Nationalbibliothek,4.8,-
19,Schönbrunn Zoo,4.7,"자이언트 판다, 시베리아 호랑이, 코끼리를 포함한 500종의 동물이 사는 18세기 동물원입니다."
20,왕궁정원,4.7,-
21,Museum of Natural History Vienna,4.7,공룡 뼈에서 운석에 이르기까지 광대한 표본 컬렉션을 갖춘 웅장한 19세기 박물관입니다.
22,Hundertwasser House,4.4,"훈데르트바서가 만든 자연스러운 아파트 블록으로, 밝게 채색되어 있으며 나무가 자라는 지붕과 발코니가 있습니다."
23,중앙묘지,4.7,-
24,신 왕궁,4.6,-
25,빈 대학교 식물원,4.6,-
26,Leopold Museum,4.6,"대규모 실레 작품 컬렉션 외에도 클림트, 코코슈카의 작품을 소장한 현대적인 박물관으로 카페 겸 바가 있습니다."
27,Kunst Haus Wien. Museum Hundertwasser,4.5,옛 가구 공장에서 프리덴스라이히 훈데르트바서의 회화와 그래픽 작품을 감상할 수 있습니다.
28,Haus des Meeres Aqua Terra Zoo,4.6,-
29,Imperial Treasury Vienna,4.6,"박물관에는 지난 1,000년 동안 오스트리아 황제들이 수집한 세속적이고 종교적인 보물이 소장되어 있습니다."
30,Augarten,4.6,-
31,빈 음악협회,4.6,-
32,Danube Tower,4.5,"1964년에 문을 연 상징적인 탑에 실내외 테라스 전망대와 레스토랑, 카페가 있습니다."
33,Museum of Applied Arts,4.6,-
34,보티프 교회,4.6,-
35,황실 묘지,4.5,-
36,Seegrotte,4.3,-
37,오스트리아 의회의사당,4.5,관광 안내소가 있는 인상적인 신고전주의 건물에서 호화로운 방을 둘러볼 수 있는 가이드 투어가 제공됩니다.
38,Technical Museum,4.6,-
39,Schmetterlinghaus,4.2,-
40,오스트리아 국립도서관,4.6,-
41,Time Travel Vienna,4.5,-
42,House of Music,4.4,-
43,Prater Wien,4.6,-
44,비엔나 국제 센터,4.5,-
45,오이겐왕자의 겨울궁전,4.3,-
46,Wien Museum Mozart apartment,4.0,"모차르트가 거주하며 작곡했던 1700년대 아파트를 복원한 박물관으로, 오디오 투어와 기념품 가게가 마련되어 있습니다."
47,Imperial Carriage Museum Vienna,4.6,-
48,St. Stephen's Cathedral,4.4,-
49,Vienna Clock Museum,4.5,-
50,Viktor Frankl Museum Wien,4.6,-
51,Klimt-Villa,4.4,-
52,베토벤 동상,4.3,-
53,모차르트 동상,4.6,-
54,Third Man Museum,4.9,-
55,성모마리아의 방문 교회/살레실리안교회/ 살레실리안수녀원,4.3,-
56,예수회 성당,4.7,-
57,리히텐쉬타인 정원궁전,4.6,-
58,Historisches Zentrum von Wien,-,-
59,ArchäoNOW - Rätselrallye und Schnitzeljagd Wien,5.0,-
