,Name,Score,Description
0,호엔잘츠부르크 성,4.6,알프스까지 도시를 조망할 수 있는 언덕 위에 있는 거대한 11세기 요새이며 박물관이 있습니다.
1,미라벨궁,4.5,대표적인 17세기 궁전으로 아름다운 정원이 있고 호화로운 무도회장에서 클래식 콘서트가 열립니다.
2,모차르트 광장,4.5,-
3,헬브룬 궁전,4.6,"작은 동굴, 특색있는 분수, 극장이 있는 17세기 르네상스 시대의 궁전과 정원입니다."
4,잘츠부르크 대성당,4.7,17세기 바로크 양식 성당에 성물을 소장한 박물관과 첨탑 2개가 있습니다.
5,미라벨,4.6,-
6,Mozart's Birthplace,4.2,1756년 볼프강 모차르트의 탄생지로 현재는 하우스 박물관으로 운영되고 있으며 유년시절에 관한 투어가 있습니다.
7,모차르트의 집,4.1,-
8,잘츠부르크 크리스마스박물관,4.2,-
9,레지덴츠 회화관,4.4,-
10,사운드오브뮤직 파빌리온,4.4,-
11,장난감 박물관,4.4,-
12,Salzburg Residence,4.7,-
13,카푸치너 성당,4.5,-
14,묀히산 현대미술관,3.9,-
15,Residenzbrunnen,4.6,-
16,스티글 양조장,4.5,-
17,Panorama Museum,4.0,-
18,성 페터 대주교청 교회,4.6,-
19,Museum der Moderne Salzburg,4.1,-
