,Name,Score,Description
0,무르치슨 팔스 국립공원,4.5,"멋진 폭포가 있는 국립 공원으로 숲, 초원과 같은 다양한 야생 동물 서식지가 있습니다."
1,키베일 국립공원,4.6,"1,279km² 규모의 열대 우림 국립공원은 침팬지와 영장류 거주지로 잘 알려져 있습니다."
2,퀸 엘리자베스 국립공원,4.4,"나무를 오르는 표범, 버팔로, 사자 등을 비롯하여 다양한 생태계를 볼 수 있는 공원이며 방문자 센터가 있습니다."
3,우간다 뮤지엄,4.1,-
4,카수비 묘,4.1,-
5,Independence Monument,4.2,-
6,카바카스 팰리스,4.3,-
7,우간다 와일드라이프 에듀케이션 센터,4.3,-
8,캄팔라 센트럴 모스크,4.5,-
9,나미렘 대성당,4.5,-
10,미잉가 고릴라 국립공원,4.7,-
11,Murchison Falls Uganda,4.8,다양한 야생동물이 서식하는 아름다운 자연환경을 배경으로 폭포수가 쏟아지는 머치슨 폭포 국립공원의 명소입니다.
12,문연요 마터스 슈라인 - 우간다 마티르 바실리카,4.6,-
13,바하이 하우스 오브 워쉽,4.6,-
14,지와 라이노 보호구역,4.5,-
15,Masindi Hotel,3.7,-
16,브윈디 임펜트레이블 포레스트 국립공원,5.0,-
17,Gorilla Uganda Bookings,4.0,-
18,"Acactus Hotel Kampala,Uganda",4.2,-
19,Mazima Adventure Safaris,-,-
20,Love Uganda Safaris and Tours,5.0,-
21,StarMount Safaris,5.0,-
22,Africa Tours Adventure Ltd,5.0,-
23,KOICA Uganda Office,4.4,-
24,The Acacia Mall,4.5,-
25,엔테베 국제공항,3.5,-
26,쉐라톤 캄팔라 호텔,4.4,-
