,Name,Score,Description
0,산넨자카,4.3,-
1,니조 성,4.4,"1603년에 지어진 이 사이프러스 목재 성은 광대한 정원을 갖추고 있으며, 이에야스 장군의 거처였습니다."
2,교토고쇼,4.4,궁궐 단지와 1855년 재건한 황실의 옛 거주지로 정원과 문이 자리하고 있습니다.
3,기요미즈데라,4.4,탁 트인 베란다에서 보는 경관이 유명한 오토와 산의 상징적인 불교 사원입니다.
4,금각사,4.5,유서 깊은 고요한 사원으로 조경 정원과 연못 사이에 금박 누각이 있습니다.
5,후시미 이나리 신사,4.6,산 중턱에 있는 신사로 711년에 지어졌으며 수백 개의 전통적인 문이 있는 길이 특징입니다.
6,교토 타워,4.1,"탑에 있는 전망대에 망원경과 터치스크린 가이드, 푸드 코트가 마련되어 있습니다."
7,텐류지,4.4,산기슭에 있는 이 1300년대 일본 선종 사원에는 찻집과 넓고 고요한 정원이 있습니다.
8,Arashiyama,4.4,환상적인 대나무 숲과 강변 풍경을 즐기면서 구불구불하고 푸르른 길에서 원숭이를 만날 수 있는 곳입니다.
9,지쇼지,4.5,이 15세기 일본 선종 불교 사원에 아름다운 정원과 후지산 모양의 모래 언덕이 있습니다.
10,도지,4.4,5층 목조 탑과 8세기에 만든 신상이 있는 유서 깊은 불교 사원입니다.
11,취봉산 고대사,4.3,"절, 정원, 다도실로 이루어진 평화로운 분위기의 사원으로, 계절에 따라 등불 축제가 열립니다."
12,뵤도인,4.4,아름다운 연못과 정원이 있는 유명 사원과 유물이 전시된 건물을 둘러볼 수 있습니다.
13,도에이 우즈마사영화촌,3.9,-
14,젠린지 (에이칸도),4.6,뒤를 돌아보는 불상 같은 고대 예술품이 있는 유명 불교 사원입니다.
15,난젠지,4.4,"선불교식 정원과 숲이 우거진 부지, 산책로가 마련된 웅장한 불교 사원 단지입니다."
16,임제종 대본산 혜일산 동복선사(도후쿠지),4.4,"1236년에 설립된 대형 불교 사원으로, 이 아름다운 부지에는 단풍으로 유명한 정원이 있습니다."
17,헤이안 신궁,4.3,1895년에 지은 전통 신사로 거대한 대문과 현대 및 시립 미술관으로 유명합니다.
18,키야마치도리,4.2,-
19,니시키 시장,4.2,400년 역사를 자랑하는 유명한 시장에 다양한 종류의 일본 식품을 판매하는 판매대가 자리합니다.
20,다이고지,4.3,"부지가 아름다운 불교 사원에 연못, 정원, 5층 탑, 박물관이 있습니다."
21,大文字山 火床,4.6,-
22,산젠인,4.5,"서기 784년에 세워진 유서 깊은 불교 사원과 여름 수국, 가을 단풍으로 유명한 정원입니다."
23,료안지,4.4,15세기 사원의 아름다운 부지에는 유명한 선불교식 암석원과 유도후 레스토랑이 있습니다.
24,닌나지,4.4,아름다운 정원과 886년에 세워진 5층 탑이 있는 유서 깊은 불교 사원입니다.
25,야사카 신사,4.3,이 신사는 서기 656년에 세워졌으며 일본에서 가장 유명한 축제 중 하나가 열리는 장소입니다.
26,기온코너(교토전통예능관),4.2,-
27,마루야마 공원,4.2,"야외 음악 홀, 동상, 계절에 따라 피는 다채로운 벚꽃으로 유명한 녹지 공간입니다."
28,슈가쿠인이궁,4.5,-
29,오코치산장 정원,4.6,-
30,아와타 신사,4.2,-
31,교토시 동물원,4.2,-
32,하나미코지도리,4.2,-
33,쇼군즈카,4.2,-
34,교토 문화박물관,4.0,-
35,하라다니원,4.4,-
36,기타노텐만구,4.4,정원이 있는 유서 깊은 10세기 사원에서 매년 꽃 축제가 진행되며 다도 체험을 할 수 있습니다.
37,히가시혼간지 (진종본묘),4.4,-
38,광명사교토본원 유리광원,4.3,-
39,교토부립 도판명화의 정원,4.1,-
40,시센도 (죠잔지),4.4,-
41,고조자카,4.2,-
42,이시베코지,4.3,-
43,봉광산 광륭사 (하치오카데라),4.2,-
44,기후네 신사,4.4,녹음이 우거진 산속의 아늑한 신사로 등불이 늘어선 보도를 따라 들어갈 수 있습니다.
45,쇼렌인몬제키,4.4,-
46,기왕사,4.4,-
47,가모미오야 신사 (시모가모 신사),4.4,"2,000년 된 전설적인 사원이자 발굴지로 고요한 강가의 숲에 있습니다."
48,등지원,4.2,-
49,귀무덤,4.2,-
50,신쇼고쿠라쿠지 (신뇨도),4.5,-
51,리쓰메이칸 대학 국제평화뮤지엄,4.0,-
52,연화사,4.4,-
53,교토 아라시야마 오르골박물관,4.0,-
54,단바망간기념관(丹波マンガン記念館),4.3,-
55,영감사 (쓰바키노테라),4.3,-
56,오토요 신사,4.1,-
57,교 라쿠이치 네네,3.9,-
58,법륜사,4.1,-
59,일련종 대본산 구족산 묘현사,4.2,-
