,Name,Score,Description
0,도톤보리,4.4,"현란한 광고판, 레스토랑, 극장으로 유명한 활기 넘치는 엔터테인먼트 지구입니다."
1,오사카 성,4.4,1597년에 지어진 이후 복원된 성으로 정원과 다양한 전시물을 갖춘 박물관이 있습니다.
2,도톤보리 글리코 사인,4.3,-
3,해유관,4.4,세계에서 가장 큰 수족관 중 하나로 북극부터 열대 해양생물에 이르는 다양한 종을 볼 수 있습니다.
4,오사카 성 공원,4.3,"벚꽃, 운동장, 야외극장 등과 더불어 정원이 있는 광활한 녹지 공간입니다."
5,쓰텐카쿠,4.0,네온 조명으로 유명한 이 랜드마크는 대중에게 개방된 전망대를 갖추고 있습니다.
6,유니버설 스튜디오 재팬,4.5,이 광대한 테마파크는 인기 있는 미국 영화를 테마로 한 놀이기구 및 라이브 엔터테인먼트를 제공합니다.
7,오사카 성 천수각,4.5,-
8,우메다 스카이빌딩,4.2,"두 동이 연결된 웅장한 초고층 건물에 정원 루프톱 전망대, 레스토랑, 칵테일 라운지가 있습니다."
9,덴포잔 대관람차,4.4,승객 480명을 수용하는 112.5m 높이의 관람차에서 탁 트인 풍경과 조명 쇼를 볼 수 있습니다.
10,우메다 공중정원,4.3,-
11,아베노 하루카스,4.1,-
12,오사카 시립 주택 박물관,4.1,-
13,시텐노지,4.3,"서기 593년에 지은 유명한 불교 사원에 5층 탑, 조각상, 거북이가 사는 연못이 있습니다."
14,구로몬시장,4.1,-
15,오사카 역사박물관,4.1,-
16,신세계 혼도리 상점가,4.0,"1912년에 조성된 분주하고 다채로운 쇼핑 지역으로, 103m 높이의 타워, 레스토랑, 기념품 가게가 있습니다."
17,하루카스 300 (전망대),4.5,-
18,덴포산공원,3.8,-
19,오사카텐만구,4.2,-
20,스미요시 대사,4.4,-
21,덴진바시스지 상점가,4.1,-
22,나카노시마 리버 크루즈,4.0,-
23,헵파이브 대관람차,4.2,-
24,덴포잔 하버 빌리지,4.2,-
25,에비스 다리,4.1,-
26,Shinsaibashi,4.3,-
27,레고랜드 디스커버리센터 오사카,3.9,-
28,톤보리 River walk,4.3,-
29,케이타쿠엔,4.2,-
30,신우메다 시티,4.1,-
31,오사카 부 사키시마청사 전망대,4.3,-
32,난바 야사카 신사,4.3,-
33,조폐국 본국,4.2,-
34,오사카 수상버스 아쿠아 라이너,4.2,-
35,덴덴타운 닛폰바시전기가,4.0,-
36,나가이 공원,4.1,-
37,오사카 시립 미술관,4.0,-
38,Street Kart Osaka,4.5,-
39,오사카 성 공원분수,4.1,-
