,Name,Score,Description
0,범선 닛폰마루,4.3,-
1,요코하마 랜드마크 타워,4.2,"호텔, 쇼핑몰, 사무실 등이 있는 고층 타워로 360도 전망대가 있습니다."
2,야마시타 공원,4.3,-
3,요코하마 아카렌가소코 2호관,4.0,"이전에는 벽돌 창고였으며, 현재는 상점, 카페 등이 있고 시즌별 이벤트가 열리는 쇼핑 & 문화 센터입니다."
4,요코하마 핫케이지마 시 파라다이스,4.2,"1993년에 개장한 이 놀이공원에는 해양 생물 쇼를 볼 수 있는 수족관, 놀이기구, 선착장 등이 있습니다."
5,산케이엔,4.3,1906년에 문을 연 일본식 전통 정원에서 전국의 역사적인 건물을 볼 수 있습니다.
6,컵라면 박물관,4.2,-
7,요코하마 마린타워,4.0,1961년에 지어진 상징적인 해변 타워 및 등대로 항구의 경관을 볼 수 있는 전망대가 있습니다.
8,신요코하마 라멘 박물관,4.0,다양한 지역의 라면 시식을 제공하는 가게가 있으며 전통적인 일본의 음식 거리를 재현한 박물관입니다.
9,하라 철도모형 박물관,4.1,-
10,기샤미치,4.3,-
11,노게야마 동물원,4.3,-
12,요코하마 베이브리지,4.2,-
13,요코하마 세관 박물관,4.0,-
14,요코하마 개항자료관,3.9,-
15,요코하마 대세계,3.6,-
16,요코하마 동물원 주라시아,4.3,-
17,일본 우선 히카와마루,4.3,-
18,Zounohana Park,4.1,-
19,SKY GARDEN,4.4,-
20,요코하마 외국인 묘지,4.0,-
21,요코하마 인형의 집,4.0,-
22,닛산 글로벌 본사 갤러리,4.2,-
23,Orbi Yokohama,3.4,-
24,미츠비시 미나토미라이 기술관,4.1,-
25,쇼묘지 요코하마,4.3,-
26,미나토노미에루오카 공원 전망대,4.2,-
27,우미노공원,4.0,-
28,Hasedera,4.4,8세기로 거슬러 올라가는 불교 사원과 정원으로 거대한 목조 관음상이 있습니다.
29,외교관의 집,4.2,-
30,요코하마 항구 박물관,4.1,-
31,KOSE Shin Yokohama Skate Center,4.0,-
32,그랜드몰 공원,3.8,-
33,현립 미츠이케 공원,4.1,-
34,Osanbashi Pier Building,3.8,-
35,Yokohama Trick Art Cruise,3.9,-
36,Meguro river,-,-
37,Bluff No.111 Residence,4.0,-
38,Equine Museum of Japan,4.0,-
39,Ōfunakannon,4.1,-
