,Name,Score,Description
0,마담 투소 홍콩,['4.4'],테마별 갤러리에 미국의 유명인과 역사적 인물의 실물 크기 밀랍 인형이 전시되어 있는 박물관 체인입니다.
1,빅토리아 하버,['4.5'],"해안의 경치, 야간 조명, 불꽃 놀이로 유명한 활기 넘치는 항구 지역입니다."
2,피크타워,['4.3'],"트램 터미널, 전망대 테라스, 전시관이 있는 현대적인 레저 쇼핑 단지입니다."
3,덩라우벽화,['3.7'],-
4,힐사이드 에스컬레이터,['4.1'],-
5,옹핑360,['4.5'],"약 25분 소요되는 케이블카를 이용하여 관광 명소, 액티비티, 상점, 레스토랑이 있는 마을까지 이동할 수 있습니다."
6,Tai Kwun - Centre for Heritage and Arts,['4.3'],-
7,홍콩문화박물관,['4.3'],-
8,홍콩 스페이스 뮤지엄,['4.1'],-
9,황후상 광장,['4.1'],-
10,TramOramic Tour - Western Market Terminus,['4.3'],-
11,오션터미널 데크,['4.5'],-
12,중국은행 타워,['4.1'],-
13,Quarry Bay Park,['4.1'],-
14,Lung Fu Shan Environmental Education Centre,['4.3'],-
