,Name,Score,Description
0,빅토리아 폭포,4.7,거대한 크기로 유명한 폭포로 방문객이 수영을 즐길 수 있는 천연 웅덩이가 있습니다.
1,마토보 국립공원,4.5,"기린, 대형 고양잇과 동물, 코뿔소, 시선을 사로잡는 암석 형성물, 그림, 숙박시설, 캠핑장이 있는 공원입니다."
2,Devils Pool Victoria Falls,4.8,-
3,무쿠비시 우드랜즈,4.1,-
4,Wild Is Life,4.7,-
5,하카 캠프 가메 공원,4.1,-
6,레일웨이 Museum.,4.0,-
7,친하이 케이브즈,4.2,-
8,parc récréatrif de Lake Chivero,4.0,-
9,힐사이드 댐스,4.1,-
10,냥가 국립공원,4.2,-
11,퀸 빅토리아 뮤지엄,3.8,-
12,카미 루인스,3.9,-
13,에완리그 보태니컬 가든스,4.2,-
14,쿠임바 쉬리 버드 공원,4.2,-
15,Mana Pools National Park,4.5,드넓은 자연 보호 구역에 있는 작은 계절성 호수로 야생동물 관찰로 인기 있는 장소입니다.
16,Twala Trust Animal Sanctuary,4.6,-
