,Name,Score,Description
0,프레스코 벽화,4.7,-
1,Funiculaire du Vieux-Québec,4.3,-
2,Montmorency Falls,4.6,"경치 좋은 산책로, 계단, 현수교, 전차 등이 있으며 높은 곳에서 떨어지는 폭포를 감상할 수 있습니다."
3,La Citadelle de Québec,4.6,오랫동안 사용된 요새 지구로 박물관이 있으며 경비병 교대 의식을 볼 수 있습니다.
4,샤토 프롱트낙,4.7,-
5,Plains of Abraham,4.7,-
6,Aquarium of Quebec,4.3,-
7,뒤프랭 테라스,4.7,-
8,Montmorency Park National Historic Site,4.6,-
9,Place d'Armes,4.5,-
10,Quartier Petit Champlain,4.7,-
11,Notre-Dame de Québec Basilica-Cathedral,4.7,-
12,Escalier Casse-Cou (Breakneck Steps),4.7,-
13,파르크 내셔널 데 라 추트-몽모렌시,4.3,-
14,Morrin Centre,4.6,-
15,Notre-Dame-des-Victoires,4.6,-
16,Observatoire de la Capitale,4.4,-
17,Musée national des beaux-arts du Québec,4.6,-
18,Domaine de Maizerets,4.6,-
19,Pôle culturel du Monastère des Ursulines,4.4,-
