,Name,Score,Description
0,CN 타워,4.6,랜드마크로 유리 바닥과 탁 트인 전망을 갖춘 회전식 식당이 있는 553m 높이의 타워입니다.
1,City Sightseeing Toronto,4.1,-
2,카사 로마,4.5,웅장한 18세기 성으로 계절에 따라 정기 투어가 제공되며 정원이 개방됩니다.
3,하이 공원,4.7,"등산로, 동물원, 운동장, 대규모 어린이 놀이터가 있는 드넓은 공원입니다."
4,로열 온타리오 박물관,4.7,거대한 자연사 및 세계 문화 갤러리를 갖추고 있으며 리베스킨트가 증축한 크리스탈 윙에서 공룡을 볼 수 있습니다.
5,토론토 동물원,4.4,"야외 파빌리온에 수백 종의 동물이 서식하는 대규모 동물원으로, 방대한 식물 컬렉션도 볼 수 있습니다."
6,하버프론트 센터,4.6,-
7,온타리오 미술관,4.7,"방대한 캐나다 예술품 컬렉션, 유럽 걸작품, 프랭크 게리의 주요 건축물을 만나볼 수 있는 대규모 갤러리입니다."
8,세인트 로렌스 마켓,4.6,"100명이 넘는 판매상, 제빵사, 정육업자, 장인이 있는 드넓은 시장으로, 주말이면 농산물과 골동품을 판매합니다."
9,Ripley's Aquarium of Canada,4.6,다양한 종과 서식지가 전시되어 있는 넓고 현대적인 수족관으로 이벤트와 수업을 진행합니다.
10,토론토 시청,4.3,-
11,네이슨 필립스 스퀘어,4.6,-
12,트리니티 벨우즈 공원,4.6,-
13,로저스 센터,4.4,"야구팀 토론토 블루제이스의 홈구장으로, 개폐식 지붕이 있으며 콘서트가 열립니다."
14,더 디스틸러리 히스토릭 디스트릿,4.6,-
15,하키 명예의 전당,4.6,-
16,Medieval Times Dinner & Tournament,4.5,-
17,구 토론토 시청,4.5,-
18,브룩필드 플레이스,4.4,-
19,토미 톰슨 공원,4.6,-
