,Name,Score,Description
0,람부뜨리 거리,4.4,-
1,방콕 왕궁,4.5,1782년에 건축된 이 화려한 왕궁은 현재 박물관으로 방문객에게 개방되어 있습니다.
2,Wat Phra Kaew,4.6,왕궁 부지에 자리 잡고 있는 이 신성한 사원은 에메랄드 불상으로 유명합니다.
3,왓 트라이밋(황금불 사원),4.5,"이 유서 깊은 사원에서는 금으로 장식된 외관, 전시, 거대한 황금 불상을 볼 수 있습니다."
4,왓 사켓,4.8,-
5,에라완 사원,4.5,금으로 도금된 브라마 신상이 있는 힌두교 사원에서는 이따금 종교의식과 무용 공연이 열립니다.
6,Wat Benchamabophit,4.6,"이탈리아산 흰 대리석으로 건설된 화려한 사원으로, 유럽과 태국식 디자인이 조화를 이룹니다."
7,Kamthieng House Museum,4.0,-
8,방람푸 시장,4.1,-
9,Museum of Contemporary Art (MOCA BANGKOK),4.7,-
10,방루앙 아티스트 하우스,4.5,-
11,Calypso Cabaret,4.1,-
12,Fantasia Lagoon,4.2,-
13,룸피니 공원,4.5,"도심 중앙 공원에 잘 다듬은 잔디밭, 놀이터, 대여용 보트가 마련된 인공 호수가 있습니다."
14,Bangkok Batting Center,4.7,-
15,라마 9세 슈퍼 타워,3.7,-
16,전승기념탑,4.3,프랑스-태국 전쟁에서의 승리를 기념하는 거대한 군사 기념탑입니다.
17,사뭇프라칸 악어농장,3.6,아찔한 악어 쇼와 코끼리 쇼가 펼쳐지며 동물 사진을 찍을 수 있는 오래된 관광 명소입니다.
18,꼬란섬,4.6,-
19,방파인 여름 별궁,4.4,태국 왕실이 여름 거주지로 사용하는 화려한 19세기 궁전은 방문객에게 개방되어 있습니다.
20,아시아티크,4.3,밤이면 조명이 들어오는 야외 쇼핑몰의 대관람차에서 아름다운 강 전망을 감상할 수 있습니다.
21,Secret Food Tours Bangkok,5.0,-
22,Sukhawadee,4.3,-
23,프라쑤멘,5.0,-
24,씨얌 파라곤,4.5,-
25,시암 디스커버리,4.4,-
26,수완나품 공항,4.2,-
27,ไปรษณีย์กลางบางรัก,4.5,-
28,포 사원,4.6,"대규모 유명 사원의 고요한 경내에 거대한 와불, 역사적인 예술품과 동상이 있습니다."
29,센트럴 월드 플라자,4.5,"미용, 패션, 전자기기 매장과 식당이 있는 쇼핑센터로, 가족 단위 활동을 즐길 수 있습니다."
30,Xbungy - Pattaya Bungy Jump,4.5,-
31,"Toto Booking Co., Ltd.",4.1,-
32,리버시티,4.3,-
33,터미널 21,4.4,공항에서 영감을 얻어 인테리어한 쇼핑몰로 국제적인 테마로 된 9개 층에 상점이 있으며 푸드코트와 영화관도 있습니다.
34,후알람퐁 중앙역,4.3,-
35,밀레니엄 힐튼 방콕,4.4,-
36,카오 따끼얍 사원,4.1,-
37,Saphan Taksin,4.1,-
38,Taste of Thailand Tours,4.8,-
39,Hutsadin Elephant Foundation,4.2,-
40,ป้ายรถประจำทาง สถานีรถไฟหัวลำโพง 4,4.1,-
41,더 페닌슐라 방콕,4.6,-
42,Phra Arthit,3.9,-
43,나라이 호텔,4.0,-
44,타워 클럽 앳 르부아,4.5,-
45,싸얌 켐핀스키 호텔,4.6,-
46,앙코르 와트,4.7,이 상징적인 거대한 사원 단지는 넓은 해자로 둘러싸여 있으며 정교한 조각품이 있습니다.
47,สถานีสามย่าน,4.4,-
48,W 방콕,4.6,-
49,까셋삿 대학교,4.4,-
50,Bangkok Taxi,5.0,-
51,풀만 방콕 킹 파워,4.5,-
52,"쉐라톤 그랜드 수쿰윗, 럭셔리 컬렉션 호텔, 방콕",4.6,-
53,BTSอ่อนนุช,4.1,-
54,JW 메리어트 호텔 방콕,4.5,-
55,Perception Blind Massage (Silom) Branch,4.7,-
56,Perception Blind Massage,4.2,-
57,힐튼 수쿰빗 방콕,4.4,-
58,Mango Mojito,4.9,-
59,"CHI, The Spa, Shangri-La Hotel, Bangkok",4.0,-
