,Name,Score,Description
0,아유타야 역사공원,4.6,14세기 옛 시암 왕국 수도의 흔적이 남아 있는 고고 유적지입니다.
1,마하 탓 사원,4.6,"유적, 다채로운 색감의 신사, 나무 뿌리가 감싸고 있는 유명한 부처 두상이 있는 불교 사원입니다."
2,왓 프라 시 산펫,4.6,탑 3기가 복원되어 있는 웅장한 왕궁 사원 유적지에서 주변 지역 전망을 감상할 수 있습니다.
3,야이 차이몽콜 사원,4.6,-
4,Ayothaya Floating Market,3.9,-
5,Wat Phanan Choeng Worawihan,4.6,1324년 강변에 세워진 이 화려한 사원에는 거대한 금박 좌불상이 있습니다.
6,Wat Ratchaburana,4.6,-
7,Chao Sam Phraya National Museum,4.5,인근 사원 및 아유타야의 궁전 유적에서 발견된 유적과 보물을 전시한 박물관입니다.
8,방파인 여름 별궁,4.4,태국 왕실이 여름 거주지로 사용하는 화려한 19세기 궁전은 방문객에게 개방되어 있습니다.
9,Wat Thammikarat,4.5,-
10,Ayuthaya Tourist Center,4.3,-
11,왓프라몽콘보핏,4.6,-
12,Ayuthaya Historical Study Centre,3.8,-
13,Wat Phu Khao Thong,4.5,-
14,차이와타나람 사원,4.6,"아름답게 재건된 17세기 왕실 불교 사원 유적으로, 한 폭의 그림 같은 강가에 있습니다."
15,Wat Niwet Thammaprawat Ratchaworawihan,4.7,-
16,씨라이프 오션월드 방콕,4.5,수백 종의 해양 생물을 볼 수 있는 대규모 수족관에서 4D 영화와 해저 탐험을 즐길 수 있습니다.
17,람부뜨리 거리,4.4,-
18,View Point Of Silom Junc,-,-
19,방콕 왕궁,4.5,1782년에 건축된 이 화려한 왕궁은 현재 박물관으로 방문객에게 개방되어 있습니다.
