,Name,Score,Description
0,진리의 성전,4.6,건물 전체가 수공 나무 조각으로 연결되었으며 아직 완성되지 않은 20층 건물에서 투어를 즐길 수 있습니다.
1,백만년바위공원과 악어농장,4.2,-
2,Pattaya Dolphin World,3.9,-
3,Xbungy - Pattaya Bungy Jump,4.5,-
4,황금절벽사원,4.4,-
5,KAAN SHOW PATTAYA,4.5,-
6,미모사 파타야,3.8,-
7,Underwater World Pattaya,4.1,-
8,파타야 수상시장,3.9,선박과 물가의 상점에서 전통적인 태국 공예품과 농산물을 판매하는 다채로운 시장입니다.
9,Big Buddha Temple,4.5,-
10,농눗 빌리지,4.5,-
11,농눗 정원,4.5,"다양한 테마의 정원, 코끼리 쇼, 놀이 기구, 먹거리를 즐길 수 있는 2km² 규모의 공원입니다."
12,HARBOR PATTAYA MEGAFUN MALL,4.1,-
13,Parody art museum & 3d selfie studio pattaya - พาโรดี้ อาร์ท มิวเซียม,4.6,-
14,파타야 나이트바자,4.1,-
15,CORAL ISLAND PATTAYA,-,-
16,꼬란섬,4.6,-
17,Sukhawadee,4.3,-
18,Easykart.net โกคาร์ท Go-Karting (Pattaya Bali Hai Pier),4.3,-
19,Hello Van Gogh,3.8,-
