,Name,Score,Description
0,팔라우 수족관,4.3,-
1,벨라우 국립박물관,4.2,1955년에 개관한 이 국립 문화유산 박물관은 실내 및 야외 전시장과 카페를 갖추고 있습니다.
2,"Ngardmau Waterfalls Ticket, Parking Lot",4.9,-
3,Ngardmau Waterfalls,4.5,-
4,palau adventuer dive,-,-
5,씨 패션 호텔,4.4,-
6,Belau Tours,-,-
7,바벨다오브 섬,4.6,-
8,팔라우 퍼시픽 리조트,4.6,-
9,가르드마우 주,-,-
10,팔라우 로열 리조트,4.5,-
11,Palau Plantation Resort,4.4,-
12,니코 만,-,-
13,팔라시아 호텔 팔라우,4.1,-
14,Palau Dream Divers,-,-
15,COVE Resort Palau,4.4,-
16,팔라우 캐롤라인스 리조트,5.0,-
17,팔라우 호텔,4.6,-
18,Palau National Capital,3.9,-
19,아이러브팔라우다이빙,5.0,-
20,가든 팰리스 타운 코로르,4.7,-
21,팔라우 캐롤라인스 리조트,5.0,-
22,Palau 8090 Dream House,4.2,-
23,팔라우 베케이션 호텔,3.9,-
24,Palau Paradise Hotel,4.0,-
25,Palau Pacific Divers,4.6,-
26,팔라우 센트랄 호텔,4.6,-
27,The Pristine Villas and Bungalows at Palau Pacific Resort,5.0,-
28,금수산태양궁전,2.8,김일성과 김정일의 유해가 보관되어 있는 관저입니다.
