,Name,Score,Description
0,피지 뮤지엄,4.1,-
1,콜로-I-수바 포레스트 공원,4.2,-
2,서스턴 가든,4.1,-
3,Big Bula Waterpark,4.2,-
4,앨버트 공원,4.4,-
5,스리 시바 서브라마니야 템플,4.4,인도 힌두교 신들의 나무 조각상이 있는 다채로운 색상의 종교 사원입니다.
6,와이타부 마린 공원,4.1,-
7,쿠라 WILD 어드밴츄어 공원,4.3,"산책로, 동물과의 만남, 워터파크, 롤러코스터 짚라인 등이 있는 자연 보호 구역입니다."
8,Suva Municipal Market,4.0,-
9,로빈슨 크루소 아일랜드,4.5,-
10,마운트 코로바바,4.7,-
11,Municipal Handicraft Centre,3.8,-
12,가든 오브 더 슬리핑 장,4.2,-
13,플로라 트로피카 보태니컬 가든스,4.7,-
14,워릭 피지,4.3,-
15,포트 데나라우,4.4,-
16,Fiji Culture Village,4.6,-
17,나우소리 공항,4.0,-
18,인터컨티넨탈 피지 골프 리조트 & 스파,4.6,-
19,다모더 시티,4.1,-
20,인터컨티넨탈 피지 골프 리조트 & 스파,4.6,-
21,그랜드 퍼시픽 호텔,4.4,-
22,소피텔 피지 리조트 앤드 스파,4.3,-
23,"더 웨스틴 데나라우 아일랜드 리조트 & 스파, 피지",4.4,-
24,피지 메리어트 리조트 모미 베이,4.6,-
25,Lautoka Market,3.9,-
26,노보텔 나디,3.7,-
27,노보텔 수바 라미 베이,4.1,-
28,Gloria Jean's Coffees MHCC,3.8,-
