,Name,Score,Description
0,초콜릿 언덕,4.4,언덕과 울창한 나무로 둘러싸인 주변을 한눈에 볼 수 있는 유명한 전망대입니다.
1,쵸콜릿 힐스 네츄럴 모누멘트,4.4,-
2,히낙다난 동굴,4.1,"멋진 종유석, 투어, 석호가 있는 이 석회암 동굴은 사진 촬영지로 인기가 높습니다."
3,알로나 해변,-,-
4,Sagbayan Peak,4.2,-
5,나비 보호센터,4.2,-
6,필리핀 타르시에 보호구역,4.3,-
7,바클레욘 성당,4.4,-
8,안경원숭이 보호구역,4.1,-
9,초콜릿 언덕,4.4,-
10,Busay Falls,4.1,-
11,혈맹의 성지,3.8,-
12,다나오 어드밴처 파크,4.4,-
13,Sipatan Twin Hanging Bridge,3.9,-
14,Loboc River Cruise,4.3,-
15,Lonoy Cold Spring,4.3,-
16,ShipHaus,4.2,-
17,초콜릿 언덕 공원,4.4,-
18,Nova Shell Museum,3.8,-
19,Hilltop 360 View Park,4.5,-
