,Name,Score,Description
0,산 페드로 요새,4.2,1738년에 지어진 삼각형 모양의 스페인 석조 요새로 오늘날에는 정원과 박물관이 있습니다.
1,카사 고로르도 박물관(Casa Gorordo Museum),4.0,-
2,마젤란의 십자가,4.4,1521년 스페인 탐험가들이 필리핀에서 기독교의 시작을 알리며 만든 십자가입니다.
3,레아신전,4.1,-
4,시라오 플라워 가든,4.2,-
5,산토니뇨 성당,4.7,1500년대에 처음 세워지고 1700년대에 재건된 성당으로 아기 예수상이 유명합니다.
6,Yap-Sandiego Ancestral House,4.4,"손으로 조각한 가구, 예술품, 정원이 특징인 17세기에 지어진 유서 깊은 저택입니다."
7,탑스 언덕 전망대,4.4,-
8,Cebu Provincial Museum,4.3,-
9,Cebu Metropolitan Cathedral,4.6,-
10,Sky Experience Adventure,4.2,-
11,더 커씨드럴 뮤지엄,4.2,-
12,Jesuit House Museum,4.5,-
13,세부 메트로폴리탄 대성당,4.8,-
14,카르멜리트 모나스터리,4.8,-
15,타보언 퍼블릭 마켓,4.1,-
16,Chapel of San Pedro Calungsod,4.6,-
17,스카이워터파크,3.9,-
18,마젤란 기념비,4.1,-
19,Cebu HappyMong Kids Park,4.4,-
20,라푸라푸 추장 기념비,4.3,-
21,버전 델라 레글라 내셔널 슈라인,4.7,-
22,Kawasan Falls,4.5,"아름다운 3개의 폭포는 정글 트레일을 통해 이동할 수 있으며, 이곳에는 자연이 만든 수영장과 석호가 있습니다."
23,도교 사원,4.3,-
24,"City Of Naga, Boardwalk",4.4,-
25,투말록 폭포,4.6,-
26,[플레잇]세부 시라오가든 투어 인스타그램 투어,-,-
27,던젼,-,-
28,Cebu Trip Tours,4.0,-
29,샌 비센테 해양보호구역,4.4,-
30,Sto. Niño Parish Church,4.2,-
31,초콜릿 언덕,4.4,언덕과 울창한 나무로 둘러싸인 주변을 한눈에 볼 수 있는 유명한 전망대입니다.
32,Divaishnavi Travel & Tours Inc.,3.6,-
33,에소이 호 스프링,4.2,-
34,Sugbo Mercado,4.4,-
35,세이프라이드 카 렌탈 앤드 투어즈,4.2,-
36,세부스마일호핑투어,4.1,-
37,알로나 해변,-,-
38,아얄라 몰,4.4,-
39,세부어드벤처,-,-
