,Name,Score,Description
0,Puffing Billy Railway,4.5,일등석 식당칸이 있는 개방식 열차로 아름다운 단데농 산맥을 통과합니다.
1,퀸 빅토리아 마켓,4.5,"음식, 의류 등을 판매하는 오래된 시장으로, 두 개의 도시 블록에 걸쳐 있는 역사적인 명소입니다."
2,슈라인 오브 리멤버랜스,4.8,"열주식 포르티코가 늘어선 사원에 제1차 세계대전을 기리는 기념비, 전시, 정원이 있습니다."
3,SEA LIFE 멜버른 수족관,4.3,상어와 바다악어를 포함한 1만 마리 이상의 동물을 볼 수 있는 다층 구조의 체험형 수족관입니다.
4,내셔널 갤러리 오브 빅토리아,4.7,"호주와 여러 국가의 예술품, 유물이 폭넓고 다양하게 전시되어 있는 공공 미술관입니다."
5,차이나타운,4.2,-
6,페더레이션 스퀘어,4.4,"추상적인 모양의 레스토랑, 박물관, 예술품 전시관 건물들이 이 광장을 둘러싸고 있습니다."
7,멜버른 박물관,4.6,1854년에 설립된 현대적인 기관 건물에서 공룡과 지역 역사에 관한 전시를 관람할 수 있습니다.
8,Old Melbourne Gaol,4.5,자유 투어와 가이드 투어가 가능한 박물관인 유서 깊은 3층 규모 감옥에 한때는 악명 높은 수감자가 갇혀 있었습니다.
9,칼턴 가든스,4.6,-
10,멜버른 주,4.3,가족 단위로 방문하기 좋은 이 시설은 ZSL 런던 동물원을 모델로 하여 만들었으며 전 세계의 동물을 볼 수 있습니다.
11,로열 보태닉 가든스 멜버른,4.8,36헥타르 규모의 식물원으로 1846년에 설립되었으며 호주산 종과 외래종 식물이 자라고 있습니다.
12,세인트 패트릭 대성당,4.7,-
13,"St Paul's Cathedral, Melbourne",4.6,-
14,유레카 타워,4.5,88층의 금색 전망대에서 탁 트인 도시 전망을 감상할 수 있으며 정육면체 유리 건물이 외부로 돌출되어 있습니다.
15,이민 박물관,4.4,-
16,Melbourne Town Hall,4.5,-
17,단데농 레인지스 국립공원,4.7,-
18,Parliament House,4.2,-
19,스테이트 리브러리 빅토리아,4.7,-
20,Murrays Lookout,4.8,-
21,멜버른 크리켓 그라운드,4.7,호주 풋볼의 본거지이자 국립 스포츠 박물관이 있으며 음악 공연장 등으로 이용되고 있습니다.
22,왕립전시관,4.6,지붕이 돔 형태로 된 유명한 19세기 전시장이 조경이 잘된 정원에 자리합니다.
23,Curtin House,4.4,-
24,루나 파크 멜버른,4.1,오래된 놀이공원은 주변을 둘러싼 롤러코스터와 거대하고 화려한 회전목마로 유명합니다.
25,Arts Centre Melbourne,4.7,-
26,크라운 멜버른,4.4,"드넓은 강변의 엔터테인먼트 단지에 호텔 3곳, 스파, 카지노, 레스토랑, 바가 있습니다."
27,Museum of Chinese Australian History,4.3,-
28,세인트 킬다 보태니컬 가든스,4.6,-
29,ArtVo,4.6,-
30,Presgrave Place Artwork,4.3,-
31,플레밍턴 라체코스,4.4,-
32,St Kilda Pier,4.6,-
