,Name,Score,Description
0,로마 스트리트 파클랜드,4.7,-
1,윌 오브 브리즈번,4.3,-
2,보타닉가든-마운틴쿠사,4.7,-
3,Anzac Square & Memorial Galleries,4.5,-
4,브리즈번 시청,4.5,-
5,로네 파인 코알라 상투아리,4.6,"세계에서 가장 큰 코알라 보호 구역이며, 호주 토종 동물을 볼 수 있는 동물원이 있습니다."
6,브리즈번 보태닉 가든스,4.6,식물과 연못이 있고 피크닉 장소와 콘서트장을 이용할 수 있는 랜드마크 식물원입니다.
7,Eat Street Northshore,4.6,-
8,세인트 존 대성당,4.6,-
9,Mount Coot-Tha Summit Lookout,4.6,-
10,트레져리 카지노 & 호텔,4.1,-
11,Sir Thomas Brisbane Planetarium,4.3,-
12,캉가루 포인트 클리프스 공원,4.7,-
13,셔우드 아버리텀,4.6,-
14,Brisbane Opal Museum,4.8,-
15,레드클리프 보태닉 가든스,3.7,-
16,브리즈번 웨일 와칭,4.9,-
17,록스 리버사이드 공원,4.7,-
18,펠리칸 공원,4.4,-
19,더 골럼 트리,4.6,-
20,카불쳐 컨트리 마켓츠,4.3,-
21,드림월드,4.3,"놀이기구, 명소, 야생동물 공원 등의 테마 구역을 갖춘 거대한 놀이공원입니다."
22,킹 조지 스퀘어,4.3,-
23,론 파인 공원,4.5,-
24,퀸즐랜드 주립 도서관,4.7,-
