,Name,Score,Description
0,WILD LIFE Sydney Zoo,4.1,일일 공연과 먹이 주기 활동을 즐길 수 있으며 걸어 다니며 서식지 내 토착 동물을 볼 수 있는 독특한 동물원입니다.
1,시드니 하버 브리지,4.7,"1932년에 설립된 상징적인 건축물로 브릿지클라이밍, 파밀론 전망대 등이 있으며 전시회가 열립니다."
2,로열 보태닉 가든스,4.7,"장미 정원, 양치식물 재배지, 어린이를 위한 '쥐라기 정글'이 있는 항구 인근의 도시 야생동물 서식지입니다."
3,시드니 오페라 하우스,4.7,"스카이라인에 우뚝 솟은 예술 센터로 가이드 투어를 이용하거나 오페라, 연극, 음악, 무용 공연을 볼 수 있습니다."
4,달링 하버,4.6,시드니의 주요 명소가 펼쳐져 있고 다양한 이벤트가 열리는 해안 지역입니다.
5,바다 생명 시드니 수족관,4.3,유리로 된 터널을 통해 방문객이 호주의 민물 및 해양 환경을 관찰할 수 있습니다.
6,Sydney Tower Eye,4.3,-
7,하이드 공원,4.6,몇몇 중요 건물과 인접한 대규모 도시공원에 유명한 호주인의 조각상이 있습니다.
8,[plaeat]시드니 블루마운틴&페더데일 동물원 투어,-,-
9,아트 갤러리 오브 뉴사우스웨일스 주,4.7,-
10,Mrs Macquarie's Chair,4.6,"재소자들이 당시 통치자의 아내를 위해 1811년에 제작한 사암 벤치로, 항구 전망을 제공합니다."
11,텀바롱 공원,4.5,-
12,타롱가 주 시드니,4.5,항구 인근의 동물원에 340종이 넘는 다양한 동물이 있으며 도심까지 가는 페리가 운행됩니다.
13,세인트 메리 대성당,4.7,-
14,시드니 천문대,4.5,-
15,루나 파크 시드니,4.2,"빅 탑 공연장과 관람차로 유명한 유서 깊은 놀이공원으로, 재개발을 거쳐 2004년에 재개장했습니다."
16,시드니 시청,4.5,-
17,Pylon Lookout,4.7,-
18,로열 국립공원,4.7,해변가의 절벽 산책로가 있는 드넓은 국립공원에 초원과 숲을 통과하는 다른 산책로도 있습니다.
19,시드니현대미술관,4.4,웅장한 해변의 아르데코 양식 건물에서 호주와 전 세계의 첨단 미술 작품을 감상할 수 있습니다.
20,파워하우스 뮤지엄,4.6,-
21,갭 공원,4.5,-
22,Macquarie Lighthouse,4.6,-
23,Sydney Jewish Museum,4.6,-
24,Figure 8 Pools,4.4,-
25,더들리 페이지 리저브 / 도버 헤이츠,4.6,-
26,옵저버토리 힐 공원,4.7,-
27,월룬드리 공원,4.5,-
28,Mascot Memorial Park,4.4,-
29,Glebe Markets,4.3,-
30,The Rocks Walking Tours,4.5,-
31,Fairfax Lookout,4.7,-
32,캠퍼다운 묘지,4.7,-
33,웬트워스 폭포,4.7,-
34,알만 공원,4.1,-
35,베라우라 밸리 국립공원,4.5,-
36,Break The Code Escape Room Sydney,4.2,-
37,Sydney Live Steam Locomotive Society,4.7,-
38,페어필드 공원,4.3,-
39,Finger Wharf,4.5,-
40,[plaeat]시드니 블루마운틴&페더데일 동물원 투어,-,-
41,I'm Free Walking Tours Sydney,4.8,-
42,샘 피즈먼 공원,4.6,-
43,Prancing Horse Drive Experiences,4.9,-
44,Bondi Icebergs CLUB,4.3,-
45,노르만 린지 갤러리 & 뮤지엄,4.3,-
46,카브레베일 기념공원,4.1,-
47,글렌워쓰 밸리 아웃도어 어드밴쳐스,3.9,-
48,Wattamolla Beach,4.7,인기 있는 소박한 공원으로 수영을 즐길 수 있는 고요한 모래 석호와 그늘진 피크닉 장소가 있습니다.
49,SDT 시드니 데이 투어,5.0,-
50,퍼펙트 데이 시드니,5.0,-
51,차이니스 가든 오브 프렌드십,4.6,"벽으로 둘러싼 중국식 정원에 정자, 이국적인 식물, 연못, 폭포, 찻집이 있습니다."
52,펄 비치 테니스 코츠 / 크롬멜린 네이티브 아버리텀,4.4,-
53,호주롯데여행사,3.9,-
54,제놀란 케이브즈,4.6,"동굴 11개와 지하로 흐르는 강 인근의 관광 명소로, 투어가 진행되며 식당과 숙박 시설이 마련되어 있습니다."
55,Friends Park,4.0,-
56,블루 마운틴스 보태닉 가든,4.6,-
57,에버글라데스 히스토릭 하우스 앤드 가든스,4.5,-
58,코알라파크,-,-
59,Airey Park,4.0,-
