,Name,Score,Description
0,애들레이드 동물원,4.5,녹지대에 있는 동물원으로 수천 마리의 동물이 살고 있으며 체험형 활동을 즐길 수 있습니다.
1,애들레이드 오벌,4.6,"53,500명을 수용할 수 있는 현대화된 스포츠 경기장과 스타의 공연장으로 경기장 투어가 제공되며 행사가 열립니다."
2,애들레이드 하임지 가든,4.6,-
3,런들 몰,4.3,-
4,South Australian Museum,4.6,-
5,애들레이드 파크 란즈,4.6,-
6,애들레이드 보태닉 가든,4.7,"울레미 소나무와 같은 희귀 식물이 있는 125에이커 규모의 푸른 정원으로 동상, 온실, 카페 등이 있습니다."
7,아트 갤러리 오브 사우스오스트레일리아 주,4.6,-
8,Adelaide Gaol,4.5,-
9,Chinatown Adelaide South Australia Inc.,4.3,-
10,Adelaide Fringe Inc.,4.4,-
11,마운트 로프티 보태닉 가든,4.7,-
12,Adelaide Casino,3.7,-
13,빅토리아 스퀘어 탄탄양가,4.4,-
14,"Scots Church Adelaide, Uniting Church",5.0,-
15,St Peter's Cathedral,4.5,-
16,National Wine Centre,4.4,-
