,Name,Score,Description
0,오스트레일리안 워 메모리얼,4.8,국가를 위해 전쟁에서 희생된 군인들을 기리기 위한 기념관 및 박물관입니다.
1,호주 국립 전쟁기념관 한국전 참전비,4.2,-
2,National Museum of Australia,4.5,-
3,Casino Canberra,3.3,-
4,Questacon - National Science and Technology Centre,4.6,-
5,오스트레일리안 내셔널 보태닉 가든스,4.6,-
6,Royal Australian Mint,4.5,-
7,Canberra Museum & Gallery,4.4,-
8,내셔널 포트렛 갤러리,4.5,-
9,캔버라 나라 피스 공원,4.6,-
10,팔리아멘트 하우스,4.4,언덕 위에 있는 거대한 오스트레일리아 국회의사당 건물로 1988년에 문을 열었으며 81m 높이의 깃대가 있습니다.
11,내셔널 아버리텀 캔버라,4.6,-
12,Telstra Tower,4.3,-
13,The Shine Dome,4.6,-
14,Old Parliament House,4.6,1988년까지 61년 동안 연방 국회의사당으로 이용되었으며 현재는 호주 민주주의 박물관으로 이용 중입니다.
15,Mount Ainslie Lookout,4.6,-
16,Australian Vietnam Forces National Memorial,4.7,-
17,내셔널 주 & 아쿼리엄,4.6,-
18,웨스턴 공원,4.5,-
19,Canberra Glassworks,4.3,-
20,Miko Designs,5.0,-
21,SIEV X 내셔널 메모리얼,5.0,-
22,오스트레일리아 국립도서관,4.5,-
23,캔버라 렙타일 동물원,4.6,-
24,오스트레일리안 인스티투테 오브 스포트,4.4,-
25,빅 스플레시 워터파크,4.0,-
26,커먼웰스 공원,4.5,-
27,마운트 스트롬로 천문대,4.3,-
28,Cockington Green Gardens,4.3,-
29,티드빈빌라 자연보호지역,4.6,-
30,"Australian Army Memorial, Canberra",4.6,-
31,Canberra and Region Visitors Centre,4.4,-
